commodity_id,commodity_name,parent_id,unit
210,粮食类,,公斤
210010,粳米,210,公斤
210020,籼米,210,公斤
210030,面粉,210,公斤
220,食用油类,,公斤
220010,豆油,220,公斤
220020,花生油,220,公斤
220030,菜籽油,220,公斤
220050,调和油,220,公斤
130,肉类,,公斤
130010,猪肉（含白条、分割）,130,公斤
130020,牛肉（含白条、分割）,130,公斤
130030,羊肉（含白条、分割）,130,公斤
280,禽类,,公斤
280020,鸡肉（含白条、分割）,280,公斤
150,蛋类,,公斤
150010,鸡蛋,150,公斤
170,蔬菜类,,公斤
260,水果类,,公斤
250,水产类,,公斤
